Country;Region;Year;Economy_status_Developed;Infant_deaths;Under_five_deaths;Alcohol_consumption;Hepatitis_B;Measles;Polio;Diphtheria;BMI;Incidents_HIV;GDP_per_capita;Population_mln;Thinness_ten_nineteen_years;Thinness_five_nine_years;Schooling;Life_expectancy;Hepatitis_B_alt;Measles_alt;Polio_alt;Diphtheria_alt
Jordan;Middle East;2006;No;19.2;22.5;0.55;98;88;98;98;28.3;0.13;4516;5.99;3.9;3.8;9.8;72.8;alta;elevada;alta;alta
Zimbabwe;Africa;2009;No;54;91.3;2.77;73;64;69;73;23.6;7.31;941;12.53;7.5;7.4;7.2;48.4;elevada;moderada;moderada;elevada
Bhutan;Asia;2005;No;44.7;57.5;0.73;95;76;95;95;22.8;0.19;1489;0.65;17.8;18.6;2.3;65.3;alta;elevada;alta;alta
Switzerland;Rest of Europe;2010;Yes;3.9;4.6;10.01;88;83;96;95;25.1;0.06;82027;7.82;0.5;0.4;13.3;82.2;elevada;elevada;alta;alta
South Africa;Africa;2006;No;48.7;79.2;7.3;83;53;79;82;26.6;11.13;5827;48.49;1.6;12.8;9;53.8;elevada;moderada;elevada;elevada
Jordan;Middle East;2012;No;16.2;19;0.36;98;96;98;98;28.7;0.13;4387;8.09;3.9;3.9;9.9;73.7;alta;alta;alta;alta
Eritrea;Africa;2012;No;36.8;51.2;1.03;94;88;94;94;20.6;0.18;699;3.28;8.7;8.6;3.9;63.2;alta;elevada;alta;alta
Germany;European Union;2010;Yes;3.5;4.2;11.58;88;93;94;95;26.3;0.03;37761;81.78;1.1;1.1;13.8;80;elevada;alta;alta;alta
Saudi Arabia;Middle East;2014;No;8.3;9.6;0;98;98;98;98;28.3;0.13;20328;30.92;7.7;7.5;9.5;74.5;alta;alta;alta;alta
Kiribati;Oceania;2004;No;49.4;64.6;0.49;67;34;61;62;29.1;0.17;1488;0.09;0.2;0.2;7.2;64.2;moderada;baixa;moderada;moderada
Seychelles;Africa;2011;No;12.2;14.2;7.83;99;99;99;99;26.3;3.5;13664;0.09;5.7;6.1;8.4;72.7;alta;alta;alta;alta
Madagascar;Africa;2012;No;44.6;64.8;0.85;68;64;71;70;21.1;0.18;465;22.35;7.4;7.3;6.1;64.3;moderada;moderada;elevada;elevada
Singapore;Asia;2014;No;2.2;2.7;1.84;96;90;96;96;23.6;0.08;54683;5.47;2.2;2.2;11.4;82.5;alta;alta;alta;alta
Togo;Africa;2008;No;61.4;94.4;1.44;82;64;80;81;22.9;1.45;456;6.08;7.7;7.6;4.3;56.2;elevada;moderada;elevada;elevada
Denmark;European Union;2009;Yes;3.6;4.2;10.08;88;85;89;89;25.3;0.04;50457;5.52;1.1;0.9;12.7;78.6;elevada;elevada;elevada;elevada
Gambia;Africa;2015;No;39.7;59.8;2.69;97;64;96;97;23.9;0.96;661;2.09;7.3;7.2;3.4;60.9;alta;moderada;alta;alta
Costa Rica;Central America and Caribbean;2014;No;7.9;9.3;3.12;91;90;91;91;27.2;0.19;11355;4.8;1.7;1.7;8.6;79.4;alta;alta;alta;alta
Belize;Central America and Caribbean;2010;No;16.2;18.9;6.47;96;91;96;96;28.4;0.37;4768;0.32;3.5;3.4;10.5;72.1;alta;alta;alta;alta
Sweden;European Union;2010;Yes;2.5;3.1;7.38;61;94;98;98;25.8;0.08;48370;9.38;1.3;1.3;12.3;81.5;moderada;alta;alta;alta
Austria;European Union;2014;Yes;3.1;3.8;12.4;98;87;98;98;25.5;0.08;44245;8.55;1.8;2;12.1;81.5;alta;elevada;alta;alta
Kyrgyz Republic;Asia;2012;No;23.2;26.1;5.98;96;65;94;96;26.1;0.14;994;5.61;3.2;3.3;10.7;70;alta;moderada;alta;alta
Grenada;Central America and Caribbean;2013;No;13.8;15.8;7.81;97;85;98;97;26.7;0.4;8067;0.11;3.8;3.8;8.5;72.6;alta;elevada;alta;alta
Brunei Darussalam;Asia;2010;No;7.9;9.7;0.25;96;93;99;95;26.4;0.1;33437;0.39;5.9;5.4;8.8;74.7;alta;alta;alta;alta
Greece;European Union;2009;Yes;3.4;3.9;8.32;95;77;99;99;27;0.09;22839;11.11;0.8;0.7;10.1;80.2;alta;elevada;alta;alta
Norway;Rest of Europe;2010;Yes;2.7;3.3;6.59;88;97;93;93;26.4;0.04;72427;4.89;0.7;0.7;12.7;81;elevada;alta;alta;alta
Uruguay;South America;2006;No;11.7;13.5;6.45;95;93;95;95;26.3;0.2;10575;3.33;1.6;1.6;8;76;alta;alta;alta;alta
Croatia;European Union;2006;Yes;5.5;6.4;10.98;96;98;96;96;26.2;0.02;11960;4.31;1.8;1.8;9.9;75.8;alta;alta;alta;alta
Romania;European Union;2008;Yes;11.9;14;12.38;97;95;95;96;25.8;0.04;8280;20.54;3.1;3.5;10.6;72.6;alta;alta;alta;alta
Central African Republic;Africa;2011;No;96.7;140.5;1.97;47;64;47;47;22.5;1.78;550;4.42;8.8;8.8;3.7;48;baixa;moderada;baixa;baixa
Algeria;Africa;2015;No;21.6;25.2;0.55;95;99;95;95;25.5;0.05;4178;39.73;6;5.8;7.9;76.1;alta;alta;alta;alta
Yemen Rep;Middle East;2011;No;45.3;58.5;0.04;69;95;69;69;23.4;0.03;2311;23.81;13.7;13.6;2.8;65.8;moderada;alta;moderada;moderada
Armenia;Rest of Europe;2009;No;17.2;19.2;3.97;93;96;94;93;26;0.08;2884;2.89;2;2.1;11.1;73.1;alta;alta;alta;alta
Zimbabwe;Africa;2004;No;51.2;92.4;2.48;68;64;67;65;23.4;9.75;1212;12.02;9.4;9.4;6.8;43.1;moderada;moderada;moderada;moderada
St Vincent and the Grenadines;Central America and Caribbean;2003;No;19;21.7;5.47;99;83;99;99;25.8;0.4;6075;0.11;3.8;3.8;7.8;71.1;alta;elevada;alta;alta
Kenya;Africa;2007;No;43.7;68;1.2;81;28;76;81;22.6;2.73;1287;38.71;8.4;8.3;6;57.5;elevada;baixa;elevada;elevada
Micronesia Fed Sts;Oceania;2003;No;29;35.2;3.16;89;65;88;92;28.9;0.17;3035;0.11;0.2;0.2;5.5;65.1;elevada;moderada;elevada;alta
Antigua and Barbuda;Central America and Caribbean;2004;No;11;13.5;6.72;97;64;97;97;25.5;0.1;14400;0.08;3.5;3.4;9.1;74.8;alta;moderada;alta;alta
Nepal;Asia;2007;No;41.9;53.4;0.2;82;65;82;82;21.4;0.17;643;26.38;17.2;17.8;3;66.3;elevada;moderada;elevada;elevada
Lithuania;European Union;2005;Yes;7.3;9;12.42;95;95;93;94;26.2;0.06;9766;3.32;3;3.1;11.8;71.3;alta;alta;alta;alta
Vanuatu;Oceania;2003;No;23.5;28.1;0.88;64;65;67;69;25.6;0.17;2519;0.2;1.6;1.6;6.5;68;moderada;moderada;moderada;moderada
Afghanistan;Asia;2000;No;90.5;129.2;0.02;62;12;24;24;21.7;0.02;148;20.78;2.3;2.5;2.2;55.8;moderada;baixa;baixa;baixa
Kuwait;Middle East;2011;No;8.5;10;0;99;99;99;99;29.1;0.13;33167;3.17;3.3;3.2;7;74.6;alta;alta;alta;alta
Kenya;Africa;2011;No;38.5;55.5;1.47;96;28;97;96;22.9;1.8;1357;43.18;8.1;7.9;6.2;61.9;alta;baixa;alta;alta
Germany;European Union;2004;Yes;4;4.9;11.83;88;89;96;96;26;0.08;35034;82.52;1.1;1.1;12.9;78.7;elevada;elevada;alta;alta
Argentina;South America;2014;No;10.8;12.1;7.93;94;96;92;94;27.5;0.13;13568;42.67;1;0.9;9.8;75.9;alta;alta;alta;alta
Panama;Central America and Caribbean;2008;No;18;21.1;6;86;79;86;86;26.3;0.4;9894;3.52;2;2;9.2;76.4;elevada;elevada;elevada;elevada
Oman;Middle East;2015;No;9.6;11.2;0.45;99;98;99;99;26.3;0.05;18445;4.27;7.1;6.9;9.5;76.9;alta;alta;alta;alta
France;European Union;2014;Yes;3.1;4.1;12.07;83;77;98;98;25;0.1;36379;66.31;0.6;0.6;11.4;82.7;elevada;elevada;alta;alta
Bosnia and Herzegovina;Rest of Europe;2011;No;6;6.9;4.71;88;88;89;88;25.4;0.08;4185;3.66;2.6;2.5;7.2;76.2;elevada;elevada;elevada;elevada
Mauritania;Africa;2002;No;68.6;111.5;0.012;61;64;91;89;23.9;0.45;1234;2.78;1.5;1.3;3.1;60.9;moderada;moderada;alta;elevada
Somalia;Africa;2008;No;101.1;166.5;0;42;64;40;31;22.7;0.13;265;11.4;7.2;7;2.1;53.3;baixa;moderada;baixa;baixa
Azerbaijan;Asia;2011;No;30.5;34.9;0.6;84;92;91;87;26.5;0.08;5153;9.17;2.8;2.9;10.7;71.2;elevada;alta;alta;elevada
Maldives;Asia;2007;No;15.1;17.6;1.51;98;56;98;98;24.1;0.17;8535;0.34;14.3;14.4;3.9;74.6;alta;moderada;alta;alta
Armenia;Rest of Europe;2012;No;14.7;16.4;3.89;95;97;96;95;26.1;0.08;3313;2.88;2;2.1;11.3;73.8;alta;alta;alta;alta
Ghana;Africa;2009;No;48.8;72.3;1.26;94;55;94;94;23.5;1.06;1348;24.17;7.3;7.2;6.7;60.6;alta;moderada;alta;alta
Somalia;Africa;2006;No;104;172;1.00E-04;42;64;26;26;22.5;0.13;237;10.76;7.4;7.2;2.1;52.7;baixa;moderada;baixa;baixa
Switzerland;Rest of Europe;2014;Yes;3.8;4.3;9.62;88;87;96;96;25.1;0.05;84348;8.19;0.4;0.3;13.4;83.2;elevada;elevada;alta;alta
Argentina;South America;2005;No;14.8;16.5;7.6;88;88;95;98;26.6;0.15;11192;38.89;1.1;1;9.1;74.5;elevada;elevada;alta;alta
Guinea-Bissau;Africa;2010;No;72.6;114.5;3.06;83;64;82;83;23;2.41;586;1.52;8;7.9;2.6;54.6;elevada;moderada;elevada;elevada
Solomon Islands;Oceania;2000;No;25.6;30.7;0.71;81;65;88;86;24.9;0.17;1939;0.41;1.4;1.4;4.6;67.4;elevada;moderada;elevada;elevada
Congo Dem Rep;Africa;2000;No;106.5;159.3;2.05;69;64;42;40;20.7;1.07;351;47.11;12.4;12.3;3.3;50;moderada;moderada;baixa;baixa
Namibia;Africa;2010;No;36.8;49.1;1.4;83;64;83;83;23.8;5.85;4147;2.12;1.4;1.4;6.2;56.7;elevada;moderada;elevada;elevada
Russian Federation;Rest of Europe;2004;No;12;14.9;11.5;96;97;98;97;25.9;0.08;6857;144.07;2.5;2.8;11.4;65.5;alta;alta;alta;alta
Japan;Asia;2003;Yes;2.9;4;7.82;83;86;97;97;22.5;0.17;31830;127.72;1.7;1.4;11;81.8;elevada;elevada;alta;alta
Mauritania;Africa;2004;No;67.8;109.7;0.014;61;64;68;70;24.1;0.4;1307;2.94;1;9.8;3.3;61.2;moderada;moderada;moderada;elevada
Eswatini;Africa;2007;No;59.3;103.8;6.34;92;99;88;87;26.1;18.67;3175;1.04;6.5;6.7;5.3;43.3;alta;alta;elevada;elevada
Nigeria;Africa;2011;No;83;133.1;4.99;46;64;48;48;23;0.73;2464;162.81;11;1.9;5.5;51.3;baixa;moderada;baixa;baixa
United Arab Emirates;Middle East;2002;No;9.1;10.6;1.6;92;92;94;94;27.3;0.13;56815;3.48;5.3;5;8.6;74.8;alta;alta;alta;alta
Burundi;Africa;2005;No;78.4;124.9;6.07;87;57;82;87;21;0.83;296;7.36;8.2;8.3;2.3;53.4;elevada;moderada;elevada;elevada
Tajikistan;Asia;2006;No;44.1;51.9;0.56;88;96;76;83;24.7;0.07;662;6.92;3.8;3.9;10.5;66.8;elevada;alta;elevada;elevada
Honduras;Central America and Caribbean;2000;No;30.3;37;2.47;93;83;88;94;24.8;0.53;1790;6.57;2.8;2.7;4.3;70.7;alta;elevada;elevada;alta
Colombia;South America;2008;No;16.7;19.5;4.35;92;70;92;92;25.5;0.19;4992;44.25;2.3;2;7.3;75;alta;elevada;alta;alta
Gambia;Africa;2009;No;47.1;76.8;3.05;97;64;97;98;23.3;1.29;733;1.74;8.4;8.3;2.7;59.3;alta;moderada;alta;alta
Madagascar;Africa;2015;No;41.3;59;0.86;69;64;68;69;21.3;0.24;467;24.23;7.1;7.1;6.1;65.5;moderada;moderada;moderada;moderada
Iceland;Rest of Europe;2003;Yes;2.8;3.5;6.52;88;92;97;97;25.7;0.03;43764;0.29;1;0.9;9.8;81;elevada;alta;alta;alta
Morocco;Africa;2002;No;40.6;48;0.46;92;92;94;94;24.8;0.06;1905;29.45;6.6;6.5;3.6;69.8;alta;alta;alta;alta
Pakistan;Asia;2011;No;68.6;85;0.04;74;38;63;74;23.5;0.13;1246;183.34;2;2.4;4.8;65.6;elevada;baixa;moderada;elevada
Bolivia;South America;2009;No;34.8;44.1;3.64;93;83;92;93;25.7;0.18;2455;9.88;1.2;1.1;7.9;67.5;alta;elevada;alta;alta
Cambodia;Asia;2006;No;49.3;59.7;1.18;80;48;80;80;21.2;0.3;760;13.48;11.4;11.6;3.6;63.9;elevada;baixa;elevada;elevada
Malaysia;Asia;2006;No;7;8.1;0.45;95;90;95;95;24.6;0.2;7531;26.2;8.8;8.6;8.2;73.7;alta;alta;alta;alta
Romania;European Union;2006;Yes;14.2;16.6;9.89;99;96;97;97;25.5;0.04;6846;21.19;3.2;3.7;10.3;72.2;alta;alta;alta;alta
Dominican Republic;Central America and Caribbean;2008;No;29.1;35.5;5.91;81;83;86;82;25.7;0.59;5410;9.46;3.4;3.3;7.2;71.6;elevada;elevada;elevada;elevada
Norway;Rest of Europe;2015;Yes;2.2;2.7;5.97;88;91;95;95;26.6;0.04;74356;5.19;0.8;0.7;12.5;82.3;elevada;alta;alta;alta
Italy;European Union;2005;Yes;3.8;4.5;8.65;96;84;97;95;25.6;0.09;33258;57.97;0.5;0.5;9.2;80.8;alta;elevada;alta;alta
Vietnam;Asia;2015;No;17.4;21.8;2.98;97;65;97;97;21.7;0.12;2582;92.68;14.2;14.5;8;75.1;alta;moderada;alta;alta
Albania;Rest of Europe;2007;No;15.3;17.1;5.46;98;95;99;98;25.8;0.03;3045;2.97;1.6;1.7;9.2;75.6;alta;alta;alta;alta
Oman;Middle East;2013;No;9.7;11.3;0.44;98;99;99;98;26.1;0.05;19654;3.76;7;6.8;8.9;76.4;alta;alta;alta;alta
Czechia;European Union;2001;Yes;4.3;5.2;13.64;92;98;97;98;26.5;0.08;12735;10.22;2.2;2.3;10.9;75.2;alta;alta;alta;alta
Tonga;Oceania;2002;No;13.8;16;1.5;88;98;90;84;31.4;0.17;3952;0.1;0.1;0.1;9.1;69.8;elevada;alta;alta;elevada
Congo Rep;Africa;2001;No;70.7;111.1;0.9;71;64;32;31;22.1;2.41;2080;3.22;9.4;9;5.6;52.5;elevada;moderada;baixa;baixa
Slovenia;European Union;2010;Yes;2.6;3.2;10.33;88;96;96;96;26.1;0.02;20613;2.05;1.6;1.6;12.1;79.4;elevada;alta;alta;alta
Gabon;Africa;2001;No;52.3;81.4;9.27;70;64;44;45;23.8;3.6;7867;1.26;7.8;7.7;6.3;58;elevada;moderada;baixa;baixa
Zambia;Africa;2014;No;46;68.3;4.22;86;33;78;86;22.4;4.77;1341;15.4;6.3;6.2;6.9;60.8;elevada;baixa;elevada;elevada
Eswatini;Africa;2015;No;45.2;57.2;7.49;90;83;84;90;26.8;14.3;3680;1.1;4;4.1;6.5;55.4;alta;elevada;elevada;alta
Togo;Africa;2000;No;75.7;119.9;1.08;81;64;63;64;22;2.97;506;4.92;9.4;9.3;4;53.5;elevada;moderada;moderada;moderada
Dominican Republic;Central America and Caribbean;2014;No;28.8;35;5.23;89;83;90;91;26.3;0.4;6547;10.17;3.3;3.2;7.8;73;elevada;elevada;alta;alta
Egypt Arab Rep;Africa;2001;No;35.2;43.9;0.13;99;64;99;99;27.8;0.13;2652;70.15;3.5;3.4;4.9;68.8;alta;moderada;alta;alta
Papua New Guinea;Oceania;2014;No;41.2;52.4;1.35;67;65;43;73;25.4;0.4;2565;7.95;1.3;1.3;4.3;63.2;moderada;moderada;baixa;elevada
Ireland;European Union;2000;Yes;6;7.1;13.84;95;86;86;86;26.3;0.04;41623;3.81;0.3;0.3;10.8;76.5;alta;elevada;elevada;elevada
Bhutan;Asia;2010;No;34.1;42.4;0.23;91;85;92;91;23.3;0.16;2235;0.69;16.6;17.3;2.3;68.4;alta;elevada;alta;alta
Comoros;Africa;2001;No;72.1;100.2;0.1;71;64;70;70;22.9;0.02;1188;0.56;7.8;7.8;3;59.5;elevada;moderada;elevada;elevada
Chile;South America;2014;No;6.9;8.1;7.92;95;88;95;95;27.8;0.19;13367;17.76;0.8;0.8;10.1;79.5;alta;elevada;alta;alta
Syrian Arab Republic;Middle East;2006;No;16.5;19.3;0.75;83;81;83;80;27.4;0.13;1550;19.06;6.4;6.3;6.2;74.4;elevada;elevada;elevada;elevada
Cambodia;Asia;2009;No;40.2;47.5;1.42;92;47;95;94;21.5;0.19;855;14.09;11.1;11.4;3.7;66;alta;baixa;alta;alta
Serbia;Rest of Europe;2004;No;8.4;9.7;9.17;89;96;96;88;25.5;0.01;4162;7.46;2.6;2.6;10;72.7;elevada;alta;alta;elevada
Belgium;European Union;2002;Yes;4.4;5.4;11.29;60;78;96;95;25.6;0.08;36393;10.33;0.8;0.8;10.3;78.1;moderada;elevada;alta;alta
Belize;Central America and Caribbean;2004;No;18.2;21.3;6.07;97;89;97;97;27.8;1.48;4830;0.28;3.6;3.5;10.3;69.7;alta;elevada;alta;alta
Costa Rica;Central America and Caribbean;2000;No;11.1;13.1;4.24;89;86;80;88;25.8;0.13;7678;3.96;2.4;2.3;8;77.5;elevada;elevada;elevada;elevada
Romania;European Union;2007;Yes;13;15.2;11.06;99;96;96;96;25.6;0.04;7450;20.88;3.2;3.6;10.5;72.6;alta;alta;alta;alta
Cuba;Central America and Caribbean;2008;No;5.4;6.7;4.25;95;98;99;95;25.1;0.15;6501;11.24;3.4;3.2;10.6;78.2;alta;alta;alta;alta
Honduras;Central America and Caribbean;2014;No;17.1;20;2.42;97;83;99;97;26.5;0.06;2256;8.96;2.1;2.1;6.2;74.3;alta;elevada;alta;alta
Trinidad and Tobago;Central America and Caribbean;2007;No;21.7;24.4;6.03;89;87;90;88;26.7;0.4;18076;1.31;6.1;6.5;10.5;71.2;elevada;elevada;alta;elevada
Botswana;Africa;2004;No;42.1;72.7;4.91;91;83;96;96;23.9;13.43;4860;1.77;1.5;1.4;8.1;51.2;alta;elevada;alta;alta
St Vincent and the Grenadines;Central America and Caribbean;2005;No;18.9;21.5;6.37;99;83;93;99;26;0.4;6465;0.11;3.7;3.7;7.9;71.3;alta;elevada;alta;alta
Bolivia;South America;2003;No;47.8;63.3;2.32;80;83;82;88;25.1;0.2;2083;8.91;1.4;1.3;7.1;64.2;elevada;elevada;elevada;elevada
Paraguay;South America;2002;No;26.8;32.3;4.81;89;55;87;87;25.1;0.18;3725;5.53;2.4;2.3;6.5;71;elevada;moderada;elevada;elevada
Bahamas;Central America and Caribbean;2014;No;12.2;14.3;9.22;96;83;96;96;27.8;0.34;31689;0.37;2.5;2.5;11.1;72.8;alta;elevada;alta;alta
Costa Rica;Central America and Caribbean;2004;No;9.9;11.5;4.08;89;85;90;90;26.2;0.15;8395;4.23;2.1;2;7.9;78;elevada;elevada;alta;alta
Malta;European Union;2001;Yes;6.6;7.5;5.99;86;47;95;95;26.9;0.08;16860;0.39;0.7;0.7;8.2;78.8;elevada;baixa;alta;alta
Malawi;Africa;2000;No;100.5;174.6;1.36;79;64;73;75;21.7;9.54;294;11.15;8;7.9;3;45.1;elevada;moderada;elevada;elevada
Finland;European Union;2006;Yes;3;3.6;10.15;88;92;97;97;25.9;0.08;44074;5.27;0.9;0.8;12;79.2;elevada;alta;alta;alta
Montenegro;Rest of Europe;2007;No;7.7;8.9;9.68;90;95;92;92;25.8;0.03;5798;0.62;2.1;2.2;10.8;74.3;alta;alta;alta;alta
Egypt Arab Rep;Africa;2004;No;30.6;37.5;0.14;97;64;97;97;28.1;0.13;2759;74.17;3.3;3.2;5.4;69.3;alta;moderada;alta;alta
United Arab Emirates;Middle East;2010;No;7.4;8.7;1.69;94;94;94;94;28;0.13;32535;8.55;5.1;4.9;9.9;76.3;alta;alta;alta;alta
Iceland;Rest of Europe;2006;Yes;2.5;3.1;7.2;88;93;97;97;25.9;0.03;50732;0.3;0.9;0.9;10.2;81.2;elevada;alta;alta;alta
Malaysia;Asia;2013;No;6.8;8;0.55;96;99;97;97;25.4;0.15;9179;29.47;7.8;7.6;10.1;75.1;alta;alta;alta;alta
Antigua and Barbuda;Central America and Caribbean;2002;No;11.9;14.6;6.67;99;56;93;98;25.3;0.1;13171;0.08;3.6;3.5;9;74.4;alta;moderada;alta;alta
Central African Republic;Africa;2002;No;108.5;165.8;1.6;45;64;42;44;21.7;3.64;477;3.8;1.2;1.2;3;44.1;baixa;moderada;baixa;baixa
Timor-Leste;Oceania;2013;No;45.9;54.2;0.48;82;64;82;82;21;0.09;1287;1.15;11.1;11.2;4.5;68;elevada;moderada;elevada;elevada
Serbia;Rest of Europe;2010;No;6.6;7.6;8.87;89;91;91;91;25.8;0.02;5206;7.29;2.2;2.3;10.4;74.3;elevada;alta;alta;alta
Hungary;European Union;2001;Yes;8.2;9.6;13.18;88;99;99;99;26;0.08;9357;10.19;2.2;2.2;10.3;72.2;elevada;alta;alta;alta
Malaysia;Asia;2005;No;7;8.2;0.49;96;91;96;96;24.5;0.21;7275;25.69;9;8.8;7.6;73.6;alta;alta;alta;alta
Botswana;Africa;2015;No;39.6;49.7;6.14;95;80;96;95;24.3;5.81;6403;2.12;6.4;6.1;9.2;67.3;alta;elevada;alta;alta
Chad;Africa;2005;No;92.4;166.9;0.46;27;64;37;25;21.3;0.96;676;10.1;1.5;1.4;1.5;48.5;baixa;moderada;baixa;baixa
Malawi;Africa;2002;No;84.6;145.5;1.25;64;64;79;64;21.9;8.06;271;11.71;7.7;7.6;3.2;45.5;moderada;moderada;elevada;moderada
Sierra Leone;Africa;2012;No;100.7;147.3;3.19;91;60;91;91;22.6;0.94;627;6.71;7.9;7.8;3.2;51;alta;moderada;alta;alta
Mali;Africa;2005;No;88.1;156.4;0.55;83;64;78;77;22.1;0.76;688;12.78;9.9;9.7;1.7;52.1;elevada;moderada;elevada;elevada
Bangladesh;Asia;2007;No;44.8;57.8;0.004;95;63;96;94;20.8;0.01;856;142.66;19.5;2.1;4.7;68.6;alta;moderada;alta;alta
Latvia;European Union;2015;Yes;4.3;5;10.8;94;92;94;95;26.6;0.29;13786;1.98;2.2;2.1;12.8;74.5;alta;alta;alta;alta
Angola;Africa;2002;No;114.5;191.5;2.08;67;64;22;41;21.9;1.39;2031;17.52;1.5;1.5;4.4;47.7;moderada;moderada;baixa;baixa
Jamaica;Central America and Caribbean;2003;No;17.6;20.7;3.43;98;95;99;96;25.9;0.83;5083;2.71;1.9;1.8;7.8;74.1;alta;alta;alta;alta
Zambia;Africa;2005;No;61.9;106.2;2.41;82;39;84;82;21.8;7.69;918;11.86;7.1;7;6.3;48.5;elevada;baixa;elevada;elevada
